更新时间,#genre#
20260520 09:35:28,url


freetv_other,#genre#
CHC家庭影院,https://t.freetv.fun/live/chcjia-ting-ying-yuan.smil
cgtn,https://t.freetv.fun/live/cgtn-1.smil
cgtn,https://t.freetv.fun/live/cgtn.m3u8
tvbs新聞,https://t.freetv.fun/live/tvbsxin-wen-1.php
东森超视,rtmp://f13h.mine.nu/sat/tv331
中天新聞,https://t.freetv.fun/live/zhong-tian-xin-wen-16.php
中天新聞,https://t.freetv.fun/live/zhong-tian-xin-wen-4-1.php
中天新聞,https://t.freetv.fun/live/zhong-tian-xin-wen-5-1.php
中视,rtmp://f13h.mine.nu/sat/tv091
优漫卡通,https://t.freetv.fun/live/you-man-qia-tong-8.m3u8
凤凰中文,https://t.freetv.fun/live/feng-huang-zhong-wen-10.php
凤凰中文,https://t.freetv.fun/live/feng-huang-zhong-wen-9.php
凤凰资讯,https://t.freetv.fun/live/feng-huang-zi-xun-11-1.php
凤凰香港,https://t.freetv.fun/live/feng-huang-xiang-gang-8.php
四川卫视高清,https://t.freetv.fun/live/si-chuan-wei-shi-gao-qing.smil
天津卫视高清,https://t.freetv.fun/live/tian-jin-wei-shi-gao-qing.smil
宿州新闻综合,https://t.freetv.fun/live/su-zhou-xin-wen-zong-he-1.m3u8
山西影视,https://t.freetv.fun/live/shan-xi-ying-shi.php
嵊州新闻综合,https://t.freetv.fun/live/sheng-zhou-xin-wen-zong-he.m3u8
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-1.m3u8
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-3.m3u8
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-4.m3u8
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-6.m3u8
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing.m3u8
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-1.m3u8
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-4.m3u8
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-5.m3u8
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing.m3u8
广东影视,https://t.freetv.fun/live/yan-dong-ying-shi-gao-qing-2.m3u8
广东影视,https://t.freetv.fun/live/yan-dong-ying-shi-gao-qing-3.m3u8
广东影视,https://t.freetv.fun/live/yan-dong-ying-shi-gao-qing-4.m3u8
广东影视,https://t.freetv.fun/live/yan-dong-ying-shi-gao-qing-5.m3u8
广东影视,https://t.freetv.fun/live/yan-dong-ying-shi-gao-qing.m3u8
广东新闻,https://t.freetv.fun/live/yan-dong-xin-wen-gao-qing-1.m3u8
广东新闻,https://t.freetv.fun/live/yan-dong-xin-wen-gao-qing-2.m3u8
广东新闻,https://t.freetv.fun/live/yan-dong-xin-wen-gao-qing-3.m3u8
广东新闻,https://t.freetv.fun/live/yan-dong-xin-wen-gao-qing-4.m3u8
广东新闻,https://t.freetv.fun/live/yan-dong-xin-wen-gao-qing.m3u8
广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-gao-qing-5.m3u8
广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-gao-qing.m3u8
开封公共频道,https://t.freetv.fun/live/kai-feng-gong-gong-pin-dao-1.m3u8
星空卫视,https://t.freetv.fun/live/xing-kong-wei-shi-4.php
晋城新闻,https://t.freetv.fun/live/jin-cheng-xin-wen-2.m3u8
有线新闻,https://t.freetv.fun/live/you-xian-xin-wen.php
武乡新闻综合,https://t.freetv.fun/live/wu-xiang-xin-wen-zong-he.m3u8
民视,https://t.freetv.fun/live/min-shi-6.php
浙江新闻,https://t.freetv.fun/live/zhe-jiang-xin-wen-12.m3u8
琿春新聞綜合,https://t.freetv.fun/live/hun-chun-xin-wen-zong-he.m3u8
电影,https://t.freetv.fun/live/dian-ying-14.m3u8
电影,https://t.freetv.fun/live/dian-ying-15.m3u8
电影,https://t.freetv.fun/live/dian-ying-8.m3u8
电影,https://t.freetv.fun/live/dian-ying.m3u8
緯來電影,https://t.freetv.fun/live/wei-lai-dian-ying-3.php
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来体育,rtmp://f13h.mine.nu:1935/sat/tv721
金鹰卡通,https://t.freetv.fun/live/jin-ying-qia-tong.smil
