更新时间,#genre#
20251002 08:47:36,https://gitee.com/wzbdyr/xcz/raw/master/about1080p.mp4
关于本源(小橙子电视),http://my.djian.top/wzx/xcz/raw/branch/master/about1080p.mp4
(百)每日一首,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fd80000bqt2lkroe0ndof6sf6d0&ratio=720p&line=0
(小)MovieMusic欣赏,https://lotus.stingray.com/manifest/cmusic-cme004-montreal/samsungtvplus/dee3e3af-2706-3e77-a952-91b99f6d1819/5711200/manifest.m3u8
(橙)AMC音乐,https://AMChls.wns.live/hls/stream.m3u8
(子)音乐欣赏,http://61.221.215.25:8800/hls/49/index.m3u8
🚨(广)Music Channel,https://cmc-ono.amagi.tv/playlist1080_p.m3u8
🚨(告)周杰伦MV,http://tc-tct.douyucdn2.cn/dyliveflv1/122402rK7MO9bXSq_2000.flv?wsAuth=8cea39337984fd3341cc9ec569502e4f&token=cpn-androidmpro-0-122402-0fcea45d2300cfa0ac75fafd8679bb53af10de8c33ae99d9&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
🚨(勿)抖音神曲1,https://www.cwq06605523399.top:9003/%E5%BD%B1%E8%A7%86/%E7%94%B5%E5%BD%B1/2022%E6%8A%96%E9%9F%B3%E7%A5%9E%E6%9B%B245%E9%A6%96.mp4
🚨(信)抖音神曲2,https://www.cwq06605523399.top:9003/%E5%BD%B1%E8%A7%86/%E7%94%B5%E5%BD%B1/2022.06%E6%AD%8C%E6%9B%B2%E7%BB%BC%E5%90%88.mp4
抖音综合,https://www.cwq06605523399.top:9003/%E5%BD%B1%E8%A7%86/%E7%94%B5%E5%BD%B1/2021%E6%8A%96%E9%9F%B3%E7%BB%BC%E5%90%88.mp4
程响歌曲1,https://www.cwq06605523399.top:9003/%E5%BD%B1%E8%A7%86/%E7%94%B5%E5%BD%B1/%E7%A8%8B%E5%93%8D%E6%AD%8C%E6%9B%B2.mp4
程响歌曲2,https://www.cwq06605523399.top:9003/%E5%BD%B1%E8%A7%86/%E7%94%B5%E5%BD%B1/%E7%A8%8B%E5%93%8D%E6%AD%8C%E6%9B%B22.mp4
韩曲综合,https://www.cwq06605523399.top:9003/%E5%BD%B1%E8%A7%86/%E7%94%B5%E5%BD%B1/%E9%9F%A9%E6%9B%B2%E7%BB%BC%E5%90%88.mp4
林忆莲30首经典金曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5250071375165662691_hlsb.m3u8
周杰伦精选120首(8小时),https://txmov2.a.kwimgs.com/upic/2023/06/18/23/BMjAyMzA2MTgyMzE1MjBfMzQ4MzI0MjA1OF8xMDU4Nzc4MzAzNjZfMF8z_b_B386baa1bb2c0c48626a830ff69393771.mp4
林俊杰精选81首(5小时),https://txmov2.a.kwimgs.com/upic/2024/01/09/12/BMjAyNDAxMDkxMjA2MDdfMzQ4MzI0MjA1OF8xMjE2Nzg4Mjk4NTZfMF8z_b_Bc9f7d3b0c4b69136e61d8328a8538bd2.mp4?clientCacheKey=3xajh8b4u5j6uva_b.mp4
潘玮柏精选28首(1小时),https://txmov2.a.kwimgs.com/upic/2021/02/18/21/BMjAyMTAyMTgyMTI0MzNfODI4NTk1NTQ0XzQ0NTk2NzM2MDU3XzJfMw==_b_B92f3c6849966ee988590af29cfd9237b.mp4?tag=1-1750435163-std-1-6qxcke5wod-82a7afd374de76aa&clientCacheKey=3xabaxhvbd3me8s_b.mp4
SHE精选40首(2小时),https://txmov2.a.kwimgs.com/upic/2023/07/30/19/BMjAyMzA3MzAxOTEyNDhfODI4NTk1NTQ0XzEwOTI2ODgxNTQyOF8yXzM=_b_B1770e5ac950c20cda3df1678ded64cbc.mp4
徐良精选30首(1小时),https://alimov2.a.kwimgs.com/upic/2024/05/08/20/BMjAyNDA1MDgyMDAyMjFfMTg1NzcxNTYxOF8xMzE5MDIyNTY0NzNfMl8z_b_B62cb1e50d6a0dea4efc3e6da93662aa4.mp4
